"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"441","HL.246518.rep2","OENPIL","TEUCAN","POTARU","VERGIG","BLECIL","ANECYL","ASCTUB","DALPUR","EUPCOR","ASCHIR","TRAOHI","LILMIC","MAIRAC","BRIEUP","CXGRAV","GL","Total B"
"442","","4.8","20.6","35.4","0","33.5","13.2","0","0.2","0","0","42.1","0","0","0.5","58.2","11.5","220"
"450","HH.1124950.rep2","ELYCAN","LILMIC","CXBICK","POLBIC","ECHPAL","ANEVIR","SYMNOV","AMOCAN","RUDFUL","POLREP","BAPBRA","OENPIL","SPOHET","PHYVIR","ROSCAR","GL","Total B"
"451","","0.7","0","6.4","0","11.8","0","222.2","0","123.1","1.3","0.6","8.9","3.9","8.2","29.9","0","417"
"463","HL.456657.rep2","CAMROT","SENHEB","HEURIC","VERVIR","ZIZAPT","MONFIS","AMOCAN","SYMNOV","ANECYL","HYPPUN","ALLCAN","VERGIG","CHAFAS","KOEMAC","ASCTUB","GL","Total B"
"464","","0","6.6","2.9","0.8","0","156.5","0","1091.3","17","0","1.9","3.3","82.5","19","10","44.8","1436.6"
"467","LL.305726.rep2","PYCVIR","ASCSUL","PHYVIR","AMOCAN","ZIZAPT","BLECIL","PYCTEN","HELOCC","PYCPIL","ASCSYR","HELPAU","CAMROT","ROSCAR","MAIRAC","EUPALT","GL","Total B"
"468","","8.7","0","27.5","0.7","0.3","0","61.7","30.5","0","0","455.7","0","6.9","0","0","51.7","643.7"
"474","HH.1374866.rep2","SPIALB","MAIRAC","HELSTR","CAMSCI","CXBREV","HIEODO","TEUCAN","SILLAC","ANEVIR","TRAOHI","ZIZAPT","CHAFAS","SORNUT","ROSCAR","ANECYL","GL","Total B"
"475","","0","0","0","0","17.8","6.3","4.8","0","20.2","12.1","40.8","43.8","144","5.2","0","0","295"
"478","MH.1987913.rep2","ALLCER","ROSCAR","HEURIC","PARINT","CAMSCI","DALPUR","TRAOHI","SOLNEM","PANVIR","EUTGRA","CXBLAN","HIEODO","MONBRA","JUNDUD","ANDGER","GL","Total B"
"479","","0","0.5","0","92.8","0","3.4","19.2","5.9","12.6","261.3","31.7","22.6","15.4","6.5","0","0","471.9"
"482","ML.7316.rep2","ZIZAUR","PYCTEN","DESILL","CXBLAN","OLIRIG","AGANEP","PHYVIR","ECHPUR","ASCSYR","ANECYL","OENPIL","HYPPUN","CAMROT","SILLAC","ZIZAPT","GL","Total B"
"483","","12.7","0.5","2","24.9","174.6","295.6","34.2","3.5","0.1","5","28.6","0","-0.1","1","15.4","85.6","683.6"
"493","MH.831258.rep2","LILMIC","BAPALB","BAPBRA","VERGIG","ERASPE","ERYYUC","CEAAME","PENDIG","ALLCER","OLIRIG","SENHEB","AGATEN","ASCSYR","HELMOL","MONBRA","GL","Total B"
"494","","0","1","0.7","10.9","16.3","11","0.1","23.4","3.1","255.9","0.3","0.1","0","2.1","21","0","345.9"
"498","HH.782981.rep2","LIASCN","HELAUT","ANECAN","PYCVIR","OENPIL","ALLCAN","ROSCAR","SOLSPE","CXBICK","ZIZAPT","ROSSET","CEAAME","AMOCAN","AGATEN","TRAOHI","GL","Total B"
"499","","81.9","200.1","0.5","52.6","14.6","3.2","16.8","469.7","3.2","0.5","33.5","0.7","0","0","3.6","45.8","926.7"
"502","LH.236970.rep2","BRIEUP","BAPBRA","LIAASP","CHAFAS","LIAPYC","ELYCAN","BOUCUR","CXBLAN","ERYYUC","PANVIR","CXANNE","AMOCAN","SORNUT","AGANEP","CASCOC","GL","Total B"
"503","","190.1","0","19.1","0","33.7","24.4","1","16.3","17.8","12.9","17.4","0.3","27.5","396.9","0","39.6","757.4"
"514","ML.520465.rep2","CXNORM","POTARU","DALPUR","ROSBLA","CXGRAV","PENHIR","HEURIC","JUNINT","SILLAC","MONFIS","SPOHET","DALCAN","HYPPYR","SYMERI","EUPALT","GL","Total B"
"515","","12.9","143.3","0","1.8","5.1","26.4","7.9","1.2","10.7","173.9","5.1","0","10.5","551.6","2","28.6","981"
"519","LH.1417663.rep2","CXBLAN","HIEODO","SENHEB","DSMILL","CXBICK","ALLCER","CASCOC","BOUCUR","CHAFAS","CXBREV","PENHIR","SORNUT","PYCPIL","ANECAN","ANDGER","GL","Total B"
"520","","22.3","62.7","0","27.7","20.9","0","0","0","0.4","48.2","2","144.8","0","0","120.5","0","449.5"
"531","LL.1091767.rep2","ELYCAN","CXBICK","HELHEL","LESCAP","VERSTR","ERASPE","MONFIS","MONBRA","CAMROT","BRIEUP","BAPALB","PYCVIR","JUNDUD","HELMOL","ASCSUL","GL","Total B"
"532","","3","4.5","115.4","0.4","0.3","0","95.7","24.6","0","1.6","0","33.7","0","436.5","3.8","34.5","754"
"538","HL.1817876.rep2","SENHEB","CEAAME","TEUCAN","AGASCR","DALPUR","EUPCOR","POLBIC","PHLPIL","ANECYL","PARINT","ANDGER","HYPPUN","ASCSYR","GENAND","MONBRA","GL","Total B"
"539","","0.1","2","5.8","47.9","3.5","0","0","0.6","1.5","76","14.2","0.8","0.7","0.6","10","13.5","177.2"
