"","plot","pNDVIvalues","pGNDVIvalues","pGDVI2values","pREDvalues","pGREvalues","pNIRvalues","pREGvalues","ndvipercent.1","gndvipercent.1","gdvi2percent.1","ndvipercent.25","gndvipercent.25","gdvi2percent.25","ndviavg.1","gndviavg.1","gdvi2avg.1"
"64",64,0.752965251630723,0.623926810686173,0.955986210207276,2017.04245125173,3424.30550803208,14987.7580869155,10213.6667917763,1,1,1,1,1,1,0.752965251630723,0.623926810686173,0.955986210207276
"65",65,0.42566026053579,0.462773242916435,0.709693832179725,2900.13905623123,2640.10309328642,7245.62247803919,4738.97561504707,1,1,1,0.999941523887492,1,1,0.42566026053579,0.462773242916435,0.709693832179725
"66",66,0.67967591656787,0.602353455644346,0.91481279604064,2436.7655022989,3266.60851591987,13711.1904368533,8599.27232384599,1,1,1,1,1,1,0.67967591656787,0.602353455644346,0.91481279604064
"67",67,0.703348859922423,0.627017139152859,0.926784953874853,2302.68026040742,3091.78911467534,14048.1694266446,8524.25611855207,1,1,1,0.998487280810077,0.998734255371697,1,0.703348859922423,0.627017139152859,0.926784953874853
"68",68,0.713813234305509,0.622592187056681,0.939633290524175,2098.31826368828,2996.03240245583,13133.3149723827,8384.73210977134,1,1,1,1,1,1,0.713813234305509,0.622592187056681,0.939633290524175
"69",69,0.746001592932348,0.668258321645506,0.952891003219121,2179.12985809778,3060.19534618462,15770.3102157321,10442.8470866697,1,1,1,1,1,1,0.746001592932348,0.668258321645506,0.952891003219121
"70",70,0.769408787844745,0.662201437464666,0.962228155491648,2072.34607746269,3339.37136146882,16752.8396063876,11127.8029205393,1,1,1,1,1,1,0.769408787844745,0.662201437464666,0.962228155491648
"71",71,0.596587791993381,0.566561101279159,0.856569296586074,2443.67390451546,2799.14888850344,10799.3609991745,7169.72522189539,1,1,1,0.9998223296141,0.99992893184564,1,0.596587791993381,0.566561101279159,0.856569296586074
"72",72,0.716955923442036,0.609780066988249,0.942133007157903,2192.6536714752,3330.02443953863,14033.7345541447,9601.24705710766,1,1,1,1,1,1,0.716955923442036,0.609780066988249,0.942133007157903
"73",73,0.789756170540563,0.703917975479919,0.966046471522128,1595.64493763624,2473.2387950966,14867.5956529358,9737.81093923767,1,1,1,1,1,1,0.789756170540563,0.703917975479919,0.966046471522128
"74",74,0.830717046355699,0.713091345297934,0.980671325815391,1505.99967850473,2779.4652442642,16767.3960579218,11511.3604242333,1,1,1,1,1,1,0.830717046355699,0.713091345297934,0.980671325815391
"75",75,0.823938085792582,0.739914394467031,0.975132817682728,1295.7906315596,2109.54998043092,14845.0207903874,9584.40491070807,0.998986663179916,0.999019351464435,0.999084728033473,0.998790533472803,0.998725156903766,0.998986663179916,0.824881377920446,0.740770267333264,0.976236682163863
"76",76,0.754566389329465,0.649301869056557,0.952929717827306,1663.85939929481,2639.5113070855,12989.6305940872,9763.70072061479,1,1,1,1,1,1,0.754566389329465,0.649301869056557,0.952929717827306
"77",77,0.754351041829828,0.708229948203543,0.959527801804516,1935.98464641318,2378.71909968746,14033.326692424,9383.28983735223,1,1,1,1,1,1,0.754351041829828,0.708229948203543,0.959527801804516
"78",78,0.749809515930998,0.678589348161655,0.955255848778132,1666.62680344219,2329.49667675483,12403.1603741475,8138.94698797854,1,0.999966761949079,1,0.999900285847238,0.999867047796317,1,0.749809515930998,0.678609953868007,0.955255848778132
"79",79,0.765608672633199,0.669802705131515,0.960336450164425,2041.586936497,3125.76545470723,16174.7315730538,10172.3398811106,1,1,1,1,1,1,0.765608672633199,0.669802705131515,0.960336450164425
"80",80,0.803046500673289,0.707993789344784,0.972311339558988,1878.39563777118,2971.07092830124,17503.8727862238,10810.2326499478,1,1,1,1,0.999901989610899,1,0.803046500673289,0.707993789344784,0.972311339558988
"81",81,0.743711395413898,0.653578561433891,0.953692939565512,1762.9196686023,2561.22788747125,12498.6549372832,8408.00371992132,1,1,1,1,1,1,0.743711395413898,0.653578561433891,0.953692939565512
"82",82,0.748637633036305,0.662623937149681,0.950103410109676,1805.47197704543,2661.58668193293,13945.9887224107,8594.26107956027,1,1,1,0.999809251311397,0.999872834207598,1,0.748637633036305,0.662623937149681,0.950103410109676
"83",83,0.648291695861314,0.583433579372414,0.900470146116536,2279.62161605267,2888.76929735466,11247.4640943603,7515.75491489084,1,1,1,0.999958655476082,1,1,0.648291695861314,0.583433579372414,0.900470146116536
"84",84,0.721465067135671,0.637549581503222,0.943337689104292,2200.19704192238,3084.52736246277,14291.7267388269,8523.58984852448,1,1,1,1,1,1,0.721465067135671,0.637549581503222,0.943337689104292
"85",85,0.699870276101423,0.600931380469888,0.929929231692849,2405.15293048188,3502.53644710534,14410.253072116,9258.67720971162,1,1,1,0.999941214508259,0.99997060725413,1,0.699870276101423,0.600931380469888,0.929929231692849
"86",86,0.738695185711543,0.643895217090833,0.952635088487707,2220.93590990812,3259.83298148143,15175.0155369891,9758.73646045082,1,1,1,1,1,1,0.738695185711543,0.643895217090833,0.952635088487707
"87",87,0.71700044733641,0.629568678335398,0.941426608393987,2101.12748460953,2980.59875116965,13457.3455441683,8693.92769641317,1,1,1,1,1,1,0.71700044733641,0.629568678335398,0.941426608393987
"88",88,0.690599330114378,0.651288441703633,0.92484954456803,2690.93043613246,3089.27524876535,14846.1509245123,9613.0139902597,0.999934340118188,1,0.999967170059094,0.998621142481944,0.999934340118188,0.999934340118188,0.690640163123979,0.651288441703633,0.924876979057699
"89",89,0.588765275401269,0.570239081412708,0.861572370224995,3157.01685366296,3392.31463778229,12576.1492014545,8623.45474359099,1,1,1,0.99929785661493,0.999630450849963,0.99996304371928,0.588765275401269,0.570239081412708,0.861572370224995
"90",90,0.730427465057121,0.631335035427661,0.946786079236025,2362.50952856085,3550.23769063786,15945.3954668903,10646.6287076841,1,1,1,0.999965224648769,1,1,0.730427465057121,0.631335035427661,0.946786079236025
"91",91,0.823315653373133,0.746837658768027,0.980020688023975,1445.62116539031,2185.42914476227,15218.5963460803,9750.87577737727,1,1,1,1,1,1,0.823315653373133,0.746837658768027,0.980020688023975
"92",92,0.834012282935052,0.73321514644829,0.980739320928766,1495.5287057546,2659.01388434044,17438.9654118541,11428.4462394374,1,1,1,1,1,1,0.834012282935052,0.73321514644829,0.980739320928766
"93",93,0.815939775925455,0.681528815563628,0.97617532057325,1324.82694212351,2646.21801516159,14204.5294557819,10270.467293466,1,1,1,1,1,1,0.815939775925455,0.681528815563628,0.97617532057325
"94",94,0.772924916218285,0.673334188233492,0.963009182725249,1665.16049234385,2585.96926459466,13386.8400444156,9815.38167548931,1,1,1,1,1,1,0.772924916218285,0.673334188233492,0.963009182725249
"95",95,0.789291945356441,0.717543975661708,0.968337221408944,1556.21682758576,2248.28858103086,14274.942597649,9506.76194019609,1,1,1,1,1,1,0.789291945356441,0.717543975661708,0.968337221408944
"96",96,0.751899969200561,0.679242010625197,0.950032458794405,1751.43424314632,2501.15539059098,13498.4996709235,8893.88821111342,1,1,1,1,1,1,0.751899969200561,0.679242010625197,0.950032458794405
"97",97,0.763125496981687,0.67201353331657,0.958494485686245,1903.3991705015,2885.47906181283,15074.6134440896,9265.28269507367,1,1,1,1,1,1,0.763125496981687,0.67201353331657,0.958494485686245
"98",98,0.784529028433524,0.653238068958735,0.968853657706558,1706.67614520332,3044.50417555958,14664.8966920339,9329.58000424433,1,1,1,1,1,1,0.784529028433524,0.653238068958735,0.968853657706558
"99",99,0.816019081876741,0.705730830260223,0.976141331249557,1642.90408219006,2876.88692682887,16925.2326583608,10267.2390305243,1,1,1,1,1,1,0.816019081876741,0.705730830260223,0.976141331249557
"100",100,0.748474509707391,0.636125562884236,0.953021668297448,1704.25718539809,2777.38992511205,12803.4741812053,8524.13939853263,1,1,1,1,1,1,0.748474509707391,0.636125562884236,0.953021668297448
"101",101,0.74012873992799,0.669237512635973,0.949390635751132,2020.33701286238,2743.13629124729,14193.1233661345,9701.50998978411,1,1,1,1,1,1,0.74012873992799,0.669237512635973,0.949390635751132
"102",102,0.726240655802455,0.622403795075376,0.94254600414352,2222.98745726688,3367.3412433938,14800.5064022391,9871.45752341058,1,1,1,0.999628310360849,1,1,0.726240655802455,0.622403795075376,0.94254600414352
"103",103,0.46661278156276,0.494990605136675,0.757768125817875,2513.16155358987,2353.98968727974,7086.29777052343,4648.69154585855,1,1,1,0.99988871165189,1,1,0.46661278156276,0.494990605136675,0.757768125817875
"104",104,0.767397258328275,0.66117316863127,0.958432747210465,2121.09707898628,3439.10433608294,17137.1751761805,11233.8206316333,1,1,1,1,1,1,0.767397258328275,0.66117316863127,0.958432747210465
"105",105,0.739177763008748,0.664141108759745,0.94725428844702,2147.28885506627,3014.56453244272,15422.9238858376,10153.8520834512,1,1,1,1,1,1,0.739177763008748,0.664141108759745,0.94725428844702
"106",106,0.767347823953052,0.705080763524596,0.961383332686496,2299.43775238318,3015.53089949014,17554.989151427,11417.470132865,1,1,1,1,1,1,0.767347823953052,0.705080763524596,0.961383332686496
"107",107,0.44876779827717,0.493113602176,0.739336970092819,2659.69219380992,2390.40264138331,7148.37486785462,4716.97564138544,1,0.999939556952462,1,0.999274683429539,0.999365348000846,0.999939556952462,0.44876779827717,0.493138421605988,0.739336970092819
"108",108,0.652846629679965,0.590220706468024,0.893528436964193,2821.14367015196,3512.39130104415,13659.4192415796,9280.72265428051,1,1,1,0.996484399522883,0.997143574612342,0.999905832130077,0.652846629679965,0.590220706468024,0.893528436964193
"109",109,0.843744062559779,0.749366188030542,0.983760944729336,1498.54114963357,2607.06194863671,18371.3360697143,11760.7290246239,1,1,1,1,1,1,0.843744062559779,0.749366188030542,0.983760944729336
"110",110,0.808173437073484,0.701573755098485,0.974701696524497,1385.56580824541,2418.71417591622,13897.017793713,10132.3857296062,1,1,1,1,0.999944348600367,1,0.808173437073484,0.701573755098485,0.974701696524497
"111",111,0.833917723972601,0.740115083525383,0.97520345711769,1275.89240995126,2305.15797558579,16617.4250183812,10822.2012033751,1,1,1,1,1,1,0.833917723972601,0.740115083525383,0.97520345711769
"112",112,0.79360235302354,0.667234253115999,0.966775096924729,1417.58279489033,2619.04518937447,13507.2529037324,10387.2937136731,1,1,1,1,1,1,0.79360235302354,0.667234253115999,0.966775096924729
"113",113,0.741134046437433,0.666086460195465,0.948753141332418,1679.65826638173,2309.92925570967,11842.5193691693,8129.25867775069,1,1,1,1,1,1,0.741134046437433,0.666086460195465,0.948753141332418
"114",114,0.845583642608851,0.749290913169507,0.985476380492238,1612.4746814373,2815.0084213396,19483.0034979192,11834.8849611379,1,1,1,1,1,1,0.845583642608851,0.749290913169507,0.985476380492238
"115",115,0.834002139715747,0.718647799843757,0.982989918865306,1684.07976419979,3102.74540719403,19040.1831643249,11162.1460655737,1,1,1,1,1,1,0.834002139715747,0.718647799843757,0.982989918865306
"116",116,0.773530068051642,0.643161824288076,0.961488610966734,1936.94817522384,3426.13190927454,16000.5695736107,10159.0415888847,1,1,1,1,1,1,0.773530068051642,0.643161824288076,0.961488610966734
"117",117,0.793235921299594,0.679687635823805,0.968516076151718,1593.35215153164,2745.96696343922,15037.2058756697,9615.82863225998,1,1,1,1,1,1,0.793235921299594,0.679687635823805,0.968516076151718
"118",118,0.782429970163423,0.637490772890585,0.967495526016394,1862.04886697168,3446.12669787483,15595.1934257955,10636.8032689971,1,1,1,1,1,1,0.782429970163423,0.637490772890585,0.967495526016394
"119",119,0.621210245648427,0.575535244138036,0.888344197467445,2150.87333549976,2521.12144138859,9492.53516793044,6317.67167118151,1,1,1,1,1,1,0.621210245648427,0.575535244138036,0.888344197467445
"120",120,0.667821915922071,0.625444316896145,0.908315948127778,2633.9698292289,3028.4573995729,13759.6340093961,8811.56810022666,0.999943552256499,1,1,0.998927492873472,0.999407298693235,0.999943552256499,0.667855785713544,0.625444316896145,0.908315948127778
"121",121,0.590394019155957,0.552396294544728,0.859862463651284,2703.23390829842,3078.58584996802,10901.0319146554,7229.76044072333,1,1,1,0.999968244895367,1,1,0.590394019155957,0.552396294544728,0.859862463651284
"122",122,0.685838661408966,0.605412778464409,0.916070059265554,2281.74212230975,3151.22128245983,13427.3277926388,9039.27370532234,1,1,1,0.999936848752763,1,1,0.685838661408966,0.605412778464409,0.916070059265554
"123",123,0.753679421088448,0.638816455468653,0.955906963889401,2028.72689023548,3350.894798706,15455.1191878076,10355.8007625026,1,1,1,1,1,1,0.753679421088448,0.638816455468653,0.955906963889401
"124",124,0.717601790398529,0.647000486878914,0.938438612044878,2014.63804474598,2736.85069371355,13283.6245190967,8484.8403959376,1,1,1,0.999967400162999,1,1,0.717601790398529,0.647000486878914,0.938438612044878
"125",125,0.488293665021689,0.513406477570394,0.769055408606625,2887.95346202686,2756.66477230024,8947.8975294513,5939.09865972339,1,1,1,0.999632242318879,0.999966567483535,1,0.488293665021689,0.513406477570394,0.769055408606625
"126",126,0.81288812689495,0.72441843860776,0.978472223142947,2091.33821609999,3260.17222442922,20403.1696242134,12626.5472683754,1,1,1,1,1,1,0.81288812689495,0.72441843860776,0.978472223142947
"127",127,0.739177192593496,0.659250049555266,0.952461919038118,1672.43585839597,2339.60110739805,11589.3643561494,8168.80240448364,1,1,1,1,1,1,0.739177192593496,0.659250049555266,0.952461919038118
"128",128,0.761586916825128,0.680620254390478,0.955843200028745,2053.04350222204,2921.28534896592,15439.5588533262,10718.2904143484,1,1,1,1,1,1,0.761586916825128,0.680620254390478,0.955843200028745
"129",129,0.706992260888792,0.695225054502549,0.927547579759896,2332.06918386142,2201.43824824968,12703.4675235929,9378.90493001071,1,1,1,0.999935371291928,1,1,0.706992260888792,0.695225054502549,0.927547579759896
"130",130,0.783440539867492,0.681920523712648,0.968873823275725,1621.16486545815,2568.33756671352,13637.9090043345,9626.67101500676,1,1,1,1,1,1,0.783440539867492,0.681920523712648,0.968873823275725
