Miceimputation...1.,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Senna_hebecarpa,9.4675,437.7,333,2.26,46.98,0.22,484.1,0.36,108.05,8.9,0.13,9.42,47.04,chamaephytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACW,1.9
Senna_marilandica,0.11,295.3,210.7,2.15,46.98,0.11,400.7,0.39,80.33,3.93,0.17,0.46,4.08,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACW,12.1
Silene_stellata,0.63,277.1,217,1.63,45.28,0.27,405,0.43,59.66,1.61,0.23,1.87,4.08,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,5.5
Silphium_integrifolium,8.4755,37.8,92.2,1.47,44.46,0.14,362.6,0.54,151.17,9.19,0.55,4.21,4.94,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FACU,16.9
Silphium_laciniatum,24.6119,295.3,67.6,1.74,41.2,0.21,26.7,0.04,125.8,25.36,0.62,17.68,61.88,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,FACU,16.7
Silphium_terebinthinaceum,9.4675,277.4,83.4,1.61,41.94,0.32,278.2,0.32,94.24,36.17,0.58,27.06,447.63,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,15.1
Sisyrinchium_angustifolium,0.5997,376.6,152.3,2.56,47.36,0.33,377.7,0.32,60.96,17.54,0.29,3.12,58.38,chamaephytes,C3,1,0,0,0,1,0,0,0,F,0,3,5,FAC,1.9
Solidago_juncea,0.2318,377.3,83.4,2.26,43.12,0.14,500.6,0.5,76.31,4.46,0.23,3.1,13.95,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,7,UPL,1.9
Solidago_nemoralis,0.1186,385.4,94.2,1.28,44.29,0.12,467.3,0.22,46.39,6.43,0.39,0.84,41.5,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,8,UPL,3.5
Solidago_rigida,0.399,382.6,91.2,1.19,44.33,0.12,461.2,0.61,80.33,4.78,0.46,1.92,1.21,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,7,FACU,2.8
